id,date,neighborhood,category,status,lat,lng,valuation,description
10000,2019-02-19,Chinatown,General Request,Open,37.800284,-122.426855,,Service request #10000: blocked street or sidewalk reported by resident
10001,2019-02-03,Chinatown,Blocked Street or Sidewalk,In Progress,37.782008,-122.419938,,Service request #10001: tree maintenance reported by resident
10002,2019-02-08,Chinatown,Streetlight Out,In Progress,37.813867,-122.418623,,Service request #10002: street and sidewalk cleaning reported by resident
10003,2019-02-19,Chinatown,Illegal Dumping,Closed,37.815177,-122.418303,,Service request #10003: abandoned vehicle reported by resident
10004,2019-02-25,Chinatown,Noise Complaint,In Progress,37.802676,-122.4015,,Service request #10004: parking enforcement reported by resident
10005,2019-02-14,Chinatown,Water Leak,Closed,37.809255,-122.406817,,Service request #10005: abandoned vehicle reported by resident
10006,2019-02-25,Chinatown,General Request,Open,37.800047,-122.425116,,Service request #10006: water leak reported by resident
10007,2019-02-14,Chinatown,Street and Sidewalk Cleaning,Open,37.798316,-122.429434,,Service request #10007: sewer issues reported by resident
10008,2019-02-09,Chinatown,Damaged Property,Closed,37.798434,-122.418704,,Service request #10008: noise complaint reported by resident
10009,2019-02-21,Chinatown,Street and Sidewalk Cleaning,Open,37.793757,-122.39588,,Service request #10009: park maintenance reported by resident
10010,2019-02-26,Chinatown,Building Maintenance,Duplicate,37.795492,-122.40499,,Service request #10010: park maintenance reported by resident
10011,2019-02-26,Chinatown,Sewer Issues,Closed,37.809358,-122.4118,,Service request #10011: park maintenance reported by resident
10012,2019-02-05,Chinatown,Encampment,Closed,37.791725,-122.397052,,Service request #10012: parking enforcement reported by resident
10013,2019-02-20,Chinatown,Encampment,In Progress,37.803335,-122.414345,,Service request #10013: parking enforcement reported by resident
10014,2019-02-03,Chinatown,Pothole,In Progress,37.795882,-122.397984,,Service request #10014: tree maintenance reported by resident
10015,2019-02-19,Chinatown,Noise Complaint,Pending,37.808406,-122.413209,,Service request #10015: blocked street or sidewalk reported by resident
10016,2019-02-23,Chinatown,Illegal Dumping,Closed,37.78667,-122.397874,,Service request #10016: damaged property reported by resident
10017,2019-02-16,Chinatown,Pothole,Open,37.767444,-122.414475,,Service request #10017: building maintenance reported by resident
10018,2019-02-28,Chinatown,Sewer Issues,Closed,37.786754,-122.414193,,Service request #10018: water leak reported by resident
