id,date,neighborhood,category,resolution,lat,lng,description
180000000,2023-02-25 06:33:00,Financial District,Motor Vehicle Theft,Open,37.790657,-122.410174,Incident #180000000
180000001,2023-02-01 09:52:00,Financial District,Fraud,Arrest Made,37.794397,-122.40321,Incident #180000001
180000002,2023-02-14 16:14:00,Financial District,Motor Vehicle Theft,Open,37.797315,-122.413648,Incident #180000002
180000003,2023-02-01 07:32:00,Financial District,Trespass,Open,37.787444,-122.37554,Incident #180000003
180000004,2023-02-17 02:31:00,Financial District,Trespass,Complainant Refuses to Prosecute,37.793591,-122.410352,Incident #180000004
180000005,2023-02-10 13:54:00,Financial District,Trespass,Unfounded,37.786434,-122.402323,Incident #180000005
180000006,2023-02-12 22:13:00,Financial District,Trespass,Unfounded,37.797074,-122.407526,Incident #180000006
180000007,2023-02-12 04:27:00,Financial District,Motor Vehicle Theft,Cite or Arrest Adult,37.786059,-122.389716,Incident #180000007
180000008,2023-02-06 00:45:00,Financial District,Robbery,Open,37.779125,-122.401893,Incident #180000008
180000009,2023-02-26 01:35:00,Financial District,Motor Vehicle Theft,Arrest Made,37.777195,-122.398376,Incident #180000009
180000010,2023-02-15 03:26:00,Financial District,Weapons Offense,Arrest Made,37.789609,-122.39963,Incident #180000010
180000011,2023-02-26 21:39:00,Financial District,Drug Offense,Open,37.774411,-122.398742,Incident #180000011
180000012,2023-02-24 09:44:00,Financial District,Shoplifting,Cite or Arrest Adult,37.7788,-122.386438,Incident #180000012
180000013,2023-02-25 10:45:00,Financial District,Robbery,Open,37.797952,-122.392845,Incident #180000013
180000014,2023-02-21 16:01:00,Financial District,Trespass,Arrest Made,37.789193,-122.391357,Incident #180000014
180000015,2023-02-26 04:12:00,Financial District,Shoplifting,Open,37.791265,-122.418217,Incident #180000015
180000016,2023-02-25 10:40:00,Financial District,Burglary,Open,37.795214,-122.405352,Incident #180000016
180000017,2023-02-15 16:23:00,Financial District,Trespass,Arrest Made,37.799522,-122.412691,Incident #180000017
180000018,2023-02-04 17:29:00,Financial District,Vandalism,Not Prosecuted,37.789264,-122.384689,Incident #180000018
180000019,2023-02-18 16:20:00,Financial District,Assault,Arrest Made,37.805775,-122.39709,Incident #180000019
180000020,2023-02-13 14:10:00,Financial District,Burglary,Arrest Made,37.786457,-122.384689,Incident #180000020
180000021,2023-02-25 04:40:00,Financial District,Weapons Offense,Open,37.791808,-122.414268,Incident #180000021
180000022,2023-02-15 04:28:00,Financial District,Vandalism,Open,37.811546,-122.398613,Incident #180000022
180000023,2023-02-21 10:40:00,Financial District,Drug Offense,Arrest Made,37.789158,-122.384866,Incident #180000023
180000024,2023-02-23 05:45:00,Financial District,Trespass,Open,37.79694,-122.399401,Incident #180000024
180000025,2023-02-06 06:17:00,Financial District,Disorderly Conduct,Cite or Arrest Adult,37.807252,-122.405859,Incident #180000025
180000026,2023-02-17 00:37:00,Financial District,Disorderly Conduct,Cite or Arrest Adult,37.778528,-122.406373,Incident #180000026
180000027,2023-02-14 20:35:00,Financial District,Larceny/Theft,Open,37.816129,-122.401306,Incident #180000027
180000028,2023-02-20 00:48:00,Financial District,Burglary,Not Prosecuted,37.797895,-122.406334,Incident #180000028
180000029,2023-02-08 07:17:00,Financial District,Drug Offense,Open,37.782675,-122.410108,Incident #180000029
180000030,2023-02-25 19:59:00,Financial District,Shoplifting,Arrest Made,37.801521,-122.404931,Incident #180000030
180000031,2023-02-09 17:35:00,Financial District,Disorderly Conduct,Arrest Made,37.816579,-122.416678,Incident #180000031
180000032,2023-02-07 04:57:00,Financial District,Shoplifting,Arrest Made,37.786927,-122.400397,Incident #180000032
180000033,2020-12-13 03:52:00,Chinatown,Shoplifting,Arrest Made,37.780596,-122.418866,Incident #180000033
180000034,2020-12-11 14:17:00,Chinatown,Weapons Offense,Cite or Arrest Adult,37.793523,-122.392836,Incident #180000034
180000035,2020-12-17 03:40:00,Chinatown,Motor Vehicle Theft,Cite or Arrest Adult,37.805873,-122.401786,Incident #180000035
180000036,2020-12-28 11:04:00,Chinatown,Trespass,Open,37.788482,-122.414495,Incident #180000036
180000037,2020-12-27 16:55:00,Chinatown,Assault,Exceptional Clearance,37.792494,-122.393722,Incident #180000037
180000038,2020-12-23 06:19:00,Chinatown,Disorderly Conduct,Open,37.798955,-122.405503,Incident #180000038
180000039,2020-12-14 13:18:00,Chinatown,Disorderly Conduct,Arrest Made,37.794627,-122.396073,Incident #180000039
180000040,2020-12-04 19:03:00,Chinatown,Burglary,Arrest Made,37.780257,-122.417497,Incident #180000040
180000041,2020-12-22 16:38:00,Chinatown,Shoplifting,Arrest Made,37.790176,-122.413152,Incident #180000041
180000042,2020-12-02 10:04:00,Chinatown,Motor Vehicle Theft,Open,37.787438,-122.397783,Incident #180000042
180000043,2020-12-29 10:47:00,Chinatown,Shoplifting,Open,37.808094,-122.419433,Incident #180000043
180000044,2020-12-10 01:27:00,Chinatown,Disorderly Conduct,Open,37.807253,-122.405423,Incident #180000044
180000045,2020-12-29 09:39:00,Chinatown,Assault,Open,37.788344,-122.398364,Incident #180000045
180000046,2020-12-09 20:39:00,Chinatown,Motor Vehicle Theft,Open,37.798712,-122.407391,Incident #180000046
180000047,2020-12-24 05:45:00,Chinatown,Larceny/Theft,Open,37.772981,-122.423204,Incident #180000047
180000048,2020-12-18 11:53:00,Chinatown,Fraud,Open,37.784906,-122.385399,Incident #180000048
180000049,2020-12-04 04:16:00,Chinatown,Vandalism,Cite or Arrest Adult,37.801219,-122.404708,Incident #180000049
180000050,2020-12-27 22:46:00,Chinatown,Public Intoxication,Unfounded,37.806452,-122.416135,Incident #180000050
180000051,2020-12-13 11:34:00,Chinatown,Weapons Offense,Open,37.812318,-122.393394,Incident #180000051
180000052,2020-12-05 14:07:00,Chinatown,Assault,Cite or Arrest Adult,37.783249,-122.416129,Incident #180000052
180000053,2020-12-15 23:41:00,Chinatown,Disorderly Conduct,Open,37.789876,-122.408679,Incident #180000053
180000054,2020-12-30 02:30:00,Chinatown,Public Intoxication,Open,37.781434,-122.406349,Incident #180000054
