date,neighborhood,population,median_income,unemployment_rate,poverty_rate,renters_pct,foreclosure_rate,tax_delinquency_rate,crime_rate_per_1k,permits_count,permits_valuation_total,code_violations,vacancy_rate,pm25_aqi,311_requests,tree_canopy_pct,median_home_value
2018-01,Mission District,56258,68362.0,7.4,19.3,68.1,1.21,3.4,12.8,32,2748043,119,5.2,31,2743,12.1,814717
2018-02,Mission District,56184,68929.0,6.9,17.8,68.9,1.21,3.1,12.9,39,3305216,112,5.4,26,2820,12.2,847782
2018-03,Mission District,56234,67662.0,7.4,17.9,68.3,1.04,2.8,14.6,56,4711666,122,5.2,22,2328,12.3,826446
2018-04,Mission District,56253,67072.0,7.3,18.3,67.9,1.29,3.3,15.3,58,4814167,127,5.6,27,2356,12.2,798851
2018-05,Mission District,56277,70303.0,7.2,18.9,68.4,1.17,3.2,15.3,71,6202233,97,5.6,30,2351,12.3,832079
2018-06,Mission District,56227,69420.0,7.6,18.2,67.8,1.18,3.3,13.8,71,6065743,124,5.6,26,2347,12.3,828739
2018-07,Mission District,56253,69437.0,7.2,18.3,67.5,1.19,3.0,12.0,70,5970685,142,5.4,31,2361,12.1,845361
2018-08,Mission District,56242,71755.0,7.1,18.5,68.2,1.12,3.3,11.5,68,5748735,138,4.9,63,2474,12.2,870391
2018-09,Mission District,56245,68905.0,6.7,18.4,67.7,1.28,2.9,11.0,49,4105965,132,4.9,58,2430,12.1,845209
2018-10,Mission District,56254,70303.0,6.8,17.7,68.5,1.26,3.1,10.1,39,3344138,126,5.1,82,2389,12.2,869121
2018-11,Mission District,56193,70425.0,7.5,17.9,68.7,1.27,3.2,11.2,33,2736646,115,5.1,29,2379,12.3,874478
2018-12,Mission District,56243,71205.0,7.1,19.7,68.5,1.15,2.9,11.4,31,2725081,128,5.3,25,2762,12.3,886467
2019-01,Mission District,56254,68623.0,7.3,18.5,67.8,1.25,3.1,11.8,36,3091298,134,5.6,23,2791,12.4,853305
2019-02,Mission District,56270,73839.0,7.4,18.9,68.7,1.3,3.0,14.0,39,3366184,119,5.3,41,2746,12.4,898764
2019-03,Mission District,56222,71182.0,7.2,17.7,67.8,1.3,2.9,14.7,53,4471159,145,5.5,20,2373,12.2,892453
2019-04,Mission District,56206,70096.0,7.4,18.7,67.6,1.2,3.0,14.6,72,6163956,111,5.6,40,2415,12.1,867745
2019-05,Mission District,56310,69617.0,7.3,18.6,67.7,1.23,2.4,14.0,70,5811831,140,4.9,27,2374,12.4,854329
2019-06,Mission District,56306,70454.0,6.9,18.5,68.3,1.17,3.1,13.4,75,6458224,139,4.9,40,2270,12.3,887158
2019-07,Mission District,56262,69935.0,7.1,18.0,67.9,1.32,3.2,12.1,76,6488273,132,5.5,25,2337,12.4,882963
2019-08,Mission District,56248,70794.0,7.6,17.9,68.5,1.21,3.0,11.7,68,5888349,137,5.3,65,2349,12.3,888488
2019-09,Mission District,56255,71391.0,7.0,19.2,67.7,1.11,3.3,10.6,56,4861776,123,5.0,56,2331,12.4,898000
2019-10,Mission District,56210,70590.0,7.3,17.9,67.8,1.26,3.1,9.7,40,3434994,109,4.9,44,2352,12.3,906216
2019-11,Mission District,56295,70870.0,7.2,17.7,68.2,1.2,3.1,9.8,37,3314373,122,5.4,33,2347,12.3,897299
2019-12,Mission District,56258,70373.0,7.2,18.4,68.9,1.33,3.5,10.8,36,3085044,145,5.1,25,2808,12.1,887699
2020-01,Mission District,56216,71416.0,7.3,19.1,68.7,1.18,2.9,10.2,28,2582967,135,5.2,21,2904,12.3,920752
2020-02,Mission District,56175,70786.0,7.2,18.1,68.0,1.3,2.9,10.8,43,3723342,131,5.0,22,2898,12.3,895040
2020-03,Mission District,56333,71613.0,11.6,18.1,69.2,1.41,3.0,12.1,57,5027843,114,5.5,35,2280,12.2,894729
2020-04,Mission District,56243,72335.0,11.7,18.1,69.0,1.1,2.7,11.9,66,5683801,103,5.3,23,2398,12.3,917160
2020-05,Mission District,56231,70675.0,11.2,18.5,67.7,1.28,3.0,11.2,71,5955449,118,5.0,39,2366,12.2,909523
2020-06,Mission District,56252,71634.0,11.4,18.4,67.9,1.18,3.0,9.8,67,5886433,140,5.2,32,2380,12.6,933079
2020-07,Mission District,56252,71017.0,10.7,18.1,67.8,1.09,3.0,9.4,80,6928828,123,5.8,30,2322,12.5,921424
2020-08,Mission District,56207,71903.0,10.9,17.3,68.7,1.42,2.8,9.2,61,5194325,118,5.1,55,2321,12.3,929162
2020-09,Mission District,56248,71307.0,11.0,18.4,68.5,1.14,3.1,8.6,45,3908741,117,5.5,43,2275,12.1,924618
2020-10,Mission District,56274,71428.0,11.4,17.2,68.2,1.11,3.0,8.0,38,3218671,134,5.1,67,2309,12.4,942231
2020-11,Mission District,56138,71657.0,11.4,17.9,68.4,1.17,3.1,8.1,41,3544406,127,5.2,27,2339,12.3,928770
2020-12,Mission District,56277,74647.0,11.5,17.8,68.8,1.19,2.7,8.4,23,1973289,124,5.8,31,2828,12.4,952009
2021-01,Mission District,56275,73465.0,7.8,18.5,68.4,0.82,3.2,14.8,36,3147184,119,5.1,34,2796,12.3,956158
2021-02,Mission District,56288,73150.0,8.5,17.7,68.1,0.77,3.0,15.2,47,3976800,132,5.7,32,2934,12.2,946604
2021-03,Mission District,56176,74423.0,8.4,17.9,68.3,0.75,3.6,16.1,55,4869200,128,5.4,26,2385,12.5,991249
2021-04,Mission District,56346,72538.0,7.9,17.8,68.2,0.97,2.7,17.1,64,5478530,113,4.8,34,2373,12.2,942299
2021-05,Mission District,56250,74837.0,8.1,17.1,68.1,0.84,2.5,16.0,72,6363761,142,5.7,28,2310,12.6,988333
2021-06,Mission District,56268,73267.0,8.3,17.8,67.9,0.81,3.1,14.7,72,6248261,121,5.8,20,2420,12.4,948523
2021-07,Mission District,56251,73039.0,7.8,17.5,67.6,1.04,3.3,14.3,76,6462583,118,5.5,23,2401,12.3,964652
2021-08,Mission District,56305,73978.0,8.1,18.4,67.7,0.92,3.2,12.1,67,5703163,133,5.3,47,2420,12.2,969028
2021-09,Mission District,56192,74264.0,7.8,18.7,67.2,1.03,3.1,11.2,52,4570772,123,5.6,56,2370,12.3,988605
2021-10,Mission District,56286,72068.0,7.8,18.2,68.3,0.84,3.1,11.1,40,3363519,125,5.0,61,2281,12.4,966778
2021-11,Mission District,56285,74884.0,8.7,18.3,67.3,0.74,3.0,11.3,38,3250230,125,5.1,26,2296,12.2,988428
2021-12,Mission District,56224,75076.0,7.9,19.1,68.4,0.88,2.9,12.6,30,2638336,149,5.3,35,2801,12.3,1024431
2022-01,Mission District,56242,75959.0,7.4,17.5,68.5,0.96,3.2,12.9,32,2790592,123,5.5,30,2771,12.3,1026995
2022-02,Mission District,56302,75352.0,7.5,18.0,68.2,0.7,3.2,15.1,45,3817747,113,5.6,29,2875,12.3,1015332
2022-03,Mission District,56322,73868.0,7.2,17.5,68.0,0.83,3.1,15.8,60,5126582,122,5.2,37,2378,12.4,982227
2022-04,Mission District,56289,75399.0,7.2,18.2,67.9,1.0,3.5,16.2,63,5670404,139,5.2,27,2352,12.2,1010863
2022-05,Mission District,56227,73863.0,7.2,17.8,69.0,0.76,3.3,15.9,73,6413473,112,5.4,30,2388,12.3,1026004
2022-06,Mission District,56246,74225.0,7.0,17.4,67.9,0.98,3.4,14.7,72,6319245,118,5.5,31,2289,12.5,1026591
2022-07,Mission District,56248,74490.0,7.3,17.8,68.5,1.06,3.0,13.2,66,5685080,123,5.9,27,2376,12.3,1026319
2022-08,Mission District,56406,74473.0,7.1,18.2,68.5,1.05,3.2,12.1,68,6042948,132,5.5,71,2430,12.4,1022964
2022-09,Mission District,56272,75277.0,7.6,17.2,68.4,0.82,3.1,11.9,56,4912389,110,5.5,64,2474,12.3,1031938
2022-10,Mission District,56293,76830.0,7.2,17.8,68.5,0.88,3.0,11.0,49,4229675,125,5.1,72,2291,12.2,1057035
2022-11,Mission District,56360,75313.0,7.0,18.5,67.5,0.64,3.2,11.0,30,2700531,126,5.1,23,2413,12.4,1033781
2022-12,Mission District,56375,74431.0,6.7,17.2,68.2,0.89,3.0,12.5,26,2411984,123,5.6,31,2867,12.4,1029338
2023-01,Mission District,56316,76958.0,7.3,17.9,68.2,1.01,2.9,14.5,36,3042160,125,5.1,34,2809,12.3,1043101
2023-02,Mission District,56262,73332.0,6.7,17.9,68.6,0.91,2.9,15.0,43,3610798,139,5.6,28,2840,12.3,993784
2023-03,Mission District,56273,75189.0,6.9,17.4,69.1,0.93,3.0,16.3,62,5523317,124,5.1,33,2385,12.4,1048311
2023-04,Mission District,56338,75463.0,7.6,17.6,69.2,0.79,3.4,16.5,62,5390970,120,5.4,32,2340,12.3,1069490
2023-05,Mission District,56373,76558.0,7.2,17.6,68.5,0.76,3.0,15.2,76,6773941,119,5.8,23,2297,12.3,1076014
2023-06,Mission District,56372,75791.0,7.5,17.5,68.1,0.95,3.2,14.2,84,7521244,117,5.4,32,2383,12.2,1050465
2023-07,Mission District,56287,77547.0,7.4,17.3,68.6,0.58,3.3,12.8,73,6368500,111,5.7,27,2384,12.3,1088734
2023-08,Mission District,56293,75220.0,7.5,17.2,67.4,0.82,3.4,12.7,64,5572107,120,5.9,60,2388,12.4,1056119
2023-09,Mission District,56277,76435.0,7.2,17.4,68.6,0.87,3.2,11.2,55,4652146,133,5.4,69,2221,12.5,1071696
2023-10,Mission District,56346,75716.0,7.4,16.9,67.9,1.05,3.0,11.0,48,4266759,125,5.4,90,2366,12.3,1075746
2023-11,Mission District,56347,78072.0,7.4,16.8,69.0,0.75,3.1,10.9,36,3238178,127,5.4,38,2392,12.3,1110413
2023-12,Mission District,56352,75783.0,7.4,17.8,68.1,1.0,3.1,12.3,32,2814084,113,4.9,37,2801,12.2,1049198
2024-01,Mission District,56262,75817.0,7.7,17.9,67.9,1.09,3.3,13.5,23,2250989,110,4.8,35,2960,12.4,1079169
2024-02,Mission District,56324,78123.0,7.4,17.5,68.3,0.86,2.9,14.9,36,3196383,114,5.0,30,2911,12.4,1092868
2024-03,Mission District,56246,78332.0,6.9,17.2,68.5,0.77,3.1,15.3,53,4757780,108,5.4,29,2392,12.3,1127418
2024-04,Mission District,56302,77092.0,7.2,17.6,68.2,0.87,2.9,16.0,59,5399176,111,5.1,26,2412,12.3,1110978
2024-05,Mission District,56263,77927.0,6.9,18.4,67.6,0.89,3.2,16.2,74,6570307,124,5.3,34,2476,12.2,1098999
2024-06,Mission District,56293,80358.0,7.0,18.1,69.0,0.81,3.2,15.8,77,6923427,118,5.0,26,2305,12.3,1142169
2024-07,Mission District,56310,76349.0,7.3,17.7,67.2,0.9,3.3,13.0,83,7360388,116,5.3,32,2371,12.4,1085554
2024-08,Mission District,56308,76622.0,7.2,16.8,67.8,0.99,3.3,12.6,61,5355339,136,5.4,89,2387,12.3,1097928
2024-09,Mission District,56307,78015.0,7.4,17.7,67.8,0.73,2.7,11.5,50,4235081,127,6.1,54,2409,12.3,1122424
2024-10,Mission District,56347,78004.0,7.3,17.4,67.9,0.96,3.0,10.5,47,4093253,124,5.3,71,2393,12.3,1133745
2024-11,Mission District,56371,78984.0,7.2,16.6,67.7,0.83,3.0,11.2,37,3364174,123,5.5,30,2271,12.2,1140678
2024-12,Mission District,56242,79154.0,7.7,17.8,68.1,1.01,3.1,12.1,30,2657060,120,5.4,30,2838,12.3,1158821
2025-01,Mission District,56351,77201.0,6.4,17.7,67.5,0.84,2.8,12.7,39,3531337,118,4.5,27,2863,12.2,1122813
2025-02,Mission District,56304,79398.0,7.2,16.7,68.8,0.85,3.1,14.5,42,3678871,122,5.8,23,2760,12.4,1153206
2025-03,Mission District,56272,79978.0,7.0,18.1,68.5,0.81,3.5,15.7,60,5429270,137,5.8,30,2328,12.3,1159174
2025-04,Mission District,56407,79207.0,7.1,17.3,67.5,0.77,3.3,16.0,62,5609096,135,5.5,34,2334,12.2,1172151
2025-05,Mission District,56291,78949.0,7.6,17.4,68.4,1.08,3.0,16.5,76,6826913,139,5.5,32,2420,12.3,1147301
2025-06,Mission District,56255,77367.0,7.8,16.6,68.1,0.84,3.1,15.4,82,7213718,122,5.4,28,2445,12.3,1142243
2025-07,Mission District,56342,80635.0,7.3,16.5,68.4,0.8,3.0,13.9,82,7408181,127,5.8,31,2499,12.4,1167624
2025-08,Mission District,56347,79977.0,7.6,17.4,68.1,0.74,3.0,11.9,65,5908104,140,5.4,37,2391,12.4,1171896
2025-09,Mission District,56303,79744.0,7.0,17.4,68.1,0.91,2.9,11.1,60,5355043,141,5.2,58,2414,12.2,1159397
2025-10,Mission District,56235,81122.0,7.0,18.3,67.9,0.88,3.4,11.9,55,5101689,134,5.5,66,2337,12.2,1199704
2025-11,Mission District,56303,79540.0,7.4,17.5,68.2,1.01,2.9,11.2,33,2775763,123,5.3,37,2399,12.2,1197320
2025-12,Mission District,56374,80706.0,7.1,16.6,68.0,0.97,3.5,13.0,31,2688981,125,4.8,31,2837,12.3,1182492
2018-01,SOMA,42915,124467.0,5.4,9.8,78.5,0.92,2.2,15.6,43,4872924,84,4.5,33,2359,8.5,1491570
2018-02,SOMA,42846,124383.0,5.7,11.4,79.0,0.67,2.2,17.2,57,6320205,70,4.7,33,2280,8.5,1501560
2018-03,SOMA,42813,124871.0,6.0,10.6,78.6,0.61,2.0,18.5,63,7199924,87,4.2,31,1967,8.4,1506335
2018-04,SOMA,42913,126305.0,5.8,11.0,78.1,0.76,1.7,17.5,88,10047792,71,4.1,33,2017,8.5,1519578
2018-05,SOMA,42884,127191.0,5.5,10.8,78.3,0.65,1.9,19.3,99,11220708,91,3.9,34,1909,8.5,1573263
2018-06,SOMA,42909,125276.0,5.6,11.7,78.6,0.6,2.1,17.0,109,12385533,90,4.8,30,1957,8.5,1513490
2018-07,SOMA,42862,127263.0,5.6,10.9,78.0,0.79,2.3,15.3,97,11163460,94,4.5,24,1934,8.5,1559712
2018-08,SOMA,42955,129035.0,5.9,11.3,78.6,0.71,1.9,14.1,88,10209281,84,4.7,74,1910,8.3,1569299
2018-09,SOMA,42961,126635.0,5.4,10.9,78.9,0.8,1.8,12.9,70,7839979,110,4.3,73,1993,8.6,1545632
2018-10,SOMA,42917,126840.0,5.5,11.3,77.9,0.87,1.8,12.7,59,6665880,100,4.3,68,1847,8.5,1575595
2018-11,SOMA,42848,126400.0,5.9,11.2,78.7,0.8,2.0,13.6,49,5522663,101,5.0,29,1863,8.6,1553464
2018-12,SOMA,42790,128132.0,5.6,11.1,78.7,0.77,2.0,14.0,46,5221071,102,4.6,25,2345,8.4,1587840
2019-01,SOMA,42918,129336.0,5.7,10.9,78.5,0.72,2.0,15.0,42,4709285,104,4.9,29,2289,8.5,1610185
2019-02,SOMA,42854,127951.0,6.0,11.3,78.6,0.85,1.3,17.7,54,5971616,99,4.8,29,2342,8.7,1598502
2019-03,SOMA,42983,128649.0,5.8,10.3,78.4,0.66,2.3,18.4,73,8400833,95,4.9,26,1927,8.4,1584349
2019-04,SOMA,42871,128085.0,5.6,10.7,77.8,0.74,1.6,19.3,87,9775937,91,4.2,31,1980,8.3,1595609
2019-05,SOMA,42895,129002.0,5.8,10.7,78.3,0.67,2.1,18.5,107,12245531,87,3.9,20,1834,8.5,1614775
2019-06,SOMA,42825,129441.0,5.6,11.1,79.3,0.84,1.8,16.9,91,10367667,92,4.1,29,1914,8.5,1612628
2019-07,SOMA,42913,129198.0,5.4,11.7,78.5,0.75,2.0,15.9,103,11832385,88,4.5,24,1920,8.5,1617817
2019-08,SOMA,42899,127090.0,5.6,11.1,78.6,0.64,2.1,13.8,91,10375329,88,4.9,37,1960,8.6,1590654
2019-09,SOMA,42976,128939.0,5.8,11.1,78.4,0.83,2.0,12.2,79,8876844,105,4.7,38,1897,8.4,1622387
2019-10,SOMA,42892,130179.0,6.1,11.7,78.2,0.73,1.5,12.2,63,7412199,82,4.2,54,1928,8.4,1648250
2019-11,SOMA,42884,129603.0,5.9,11.0,78.3,0.74,1.8,12.9,46,5440725,100,4.3,33,1897,8.6,1644386
2019-12,SOMA,42903,130276.0,5.3,10.4,77.9,0.76,2.2,15.3,47,5461565,76,4.2,26,2266,8.5,1648342
2020-01,SOMA,42811,130794.0,5.4,11.1,79.5,0.65,1.4,12.5,53,6311885,82,4.5,27,2287,8.8,1648610
2020-02,SOMA,42923,130733.0,6.1,11.0,78.7,0.71,1.9,13.7,61,7000393,98,4.4,35,2295,8.3,1679472
2020-03,SOMA,42866,129816.0,9.6,11.6,77.4,1.06,2.1,14.9,72,8301947,100,4.6,32,1917,8.5,1657365
2020-04,SOMA,42902,131823.0,9.9,9.5,78.8,0.77,1.9,15.0,94,10990454,87,4.5,25,1845,8.4,1697176
2020-05,SOMA,42960,131415.0,10.0,11.2,78.2,0.79,2.0,15.2,105,12220143,98,4.7,29,1873,8.5,1679764
2020-06,SOMA,42880,130978.0,9.5,10.8,77.6,0.77,1.9,13.5,106,12335595,78,4.2,26,1866,8.6,1683660
2020-07,SOMA,42901,129332.0,9.9,10.3,78.5,0.77,2.1,12.0,83,9535670,112,4.8,31,1889,8.6,1658506
2020-08,SOMA,42939,132062.0,10.1,12.3,78.7,0.7,1.9,10.5,85,9821725,89,4.4,42,1972,8.5,1707401
2020-09,SOMA,42900,131933.0,10.0,10.5,78.2,0.72,1.6,10.0,71,8321076,97,4.5,67,1907,8.5,1708825
2020-10,SOMA,42930,131410.0,9.0,10.8,79.2,0.84,2.1,10.7,59,6846327,88,4.3,64,1975,8.5,1702457
2020-11,SOMA,42918,132816.0,9.3,9.7,78.2,0.62,1.8,10.4,46,5500015,98,4.5,33,1858,8.6,1728523
2020-12,SOMA,42952,131358.0,9.3,11.3,78.7,0.66,1.7,11.9,38,4560072,85,4.6,28,2330,8.4,1712555
2021-01,SOMA,42922,131651.0,7.0,10.6,78.4,0.42,1.4,17.3,60,7027978,94,4.3,30,2325,8.4,1733165
2021-02,SOMA,42956,133594.0,6.9,10.9,78.8,0.58,1.8,18.8,60,7162725,82,4.0,30,2302,8.5,1753965
2021-03,SOMA,42910,134568.0,6.3,10.4,78.4,0.36,1.8,21.2,74,8702073,82,4.2,28,1898,8.6,1773580
2021-04,SOMA,42866,133548.0,6.9,11.4,79.3,0.42,1.7,20.2,88,10322755,104,4.4,28,1920,8.4,1779584
2021-05,SOMA,42842,133703.0,7.3,10.8,78.4,0.49,1.8,21.1,89,10553144,80,4.3,27,1941,8.3,1769308
2021-06,SOMA,43025,132380.0,6.8,10.5,78.7,0.52,1.7,19.4,112,12994193,101,4.0,25,1943,8.6,1754822
2021-07,SOMA,42909,133960.0,6.4,11.1,78.9,0.48,1.8,17.5,98,11457438,115,4.3,28,1882,8.6,1774319
2021-08,SOMA,42893,135508.0,7.2,10.5,77.6,0.62,1.7,16.0,80,9509563,82,4.6,55,1866,8.5,1807650
2021-09,SOMA,42931,134996.0,7.3,10.0,79.3,0.53,1.7,13.7,74,8787032,93,4.9,33,1915,8.4,1801755
2021-10,SOMA,42971,134210.0,6.0,10.9,78.7,0.56,2.1,13.4,63,7496867,77,4.5,47,1913,8.5,1786740
2021-11,SOMA,42894,134891.0,6.4,10.2,78.8,0.41,2.0,14.6,40,4630072,106,4.1,27,1937,8.6,1802315
2021-12,SOMA,42899,136499.0,7.3,11.3,78.5,0.44,1.7,15.9,47,5697890,101,3.9,35,2247,8.5,1832880
2022-01,SOMA,43029,138414.0,5.9,10.7,78.8,0.61,1.8,18.3,50,6010122,101,4.5,34,2273,8.4,1849281
2022-02,SOMA,42952,136311.0,5.9,11.6,78.5,0.59,1.6,18.9,63,7528692,91,4.4,22,2282,8.6,1841930
2022-03,SOMA,42956,135787.0,5.7,10.4,78.8,0.56,2.0,20.1,64,7654908,90,4.1,33,1897,8.6,1839047
2022-04,SOMA,42966,134600.0,6.1,10.9,78.3,0.54,1.5,21.1,84,9717928,79,4.7,26,1994,8.4,1803888
2022-05,SOMA,42877,137423.0,5.7,10.4,78.6,0.57,2.1,21.1,100,11738544,90,4.5,25,1865,8.5,1862732
2022-06,SOMA,42935,135658.0,5.7,10.2,78.9,0.63,1.5,18.7,97,11364399,93,4.0,25,1865,8.5,1844123
2022-07,SOMA,42898,136815.0,5.6,10.6,79.3,0.66,1.6,17.8,105,12317968,102,4.9,24,1868,8.6,1865918
2022-08,SOMA,42963,137209.0,5.9,10.0,79.0,0.64,1.8,15.6,83,9895588,100,4.4,71,1900,8.6,1862559
2022-09,SOMA,42935,136924.0,5.8,10.5,78.4,0.61,1.8,13.6,84,10088955,81,4.6,47,1929,8.5,1870709
2022-10,SOMA,42898,136631.0,5.5,10.3,78.5,0.45,2.0,14.6,57,6767924,99,4.5,56,1951,8.5,1860708
2022-11,SOMA,42981,138440.0,5.5,10.7,78.8,0.5,2.1,15.6,45,5226792,97,4.6,28,1990,8.4,1909041
2022-12,SOMA,42908,139496.0,6.3,10.3,78.2,0.61,1.8,15.6,46,5316437,94,4.2,27,2369,8.4,1928878
2023-01,SOMA,42926,137728.0,6.0,10.8,78.8,0.62,1.8,17.1,44,5147485,124,4.8,23,2232,8.5,1906091
2023-02,SOMA,42968,137985.0,5.7,10.8,78.5,0.3,1.8,18.7,61,7557081,98,4.3,34,2325,8.5,1914449
2023-03,SOMA,43044,137320.0,5.9,10.2,78.8,0.43,1.8,20.2,80,9584625,82,4.4,26,1857,8.5,1899875
2023-04,SOMA,43063,139116.0,5.3,10.3,79.0,0.73,1.5,19.9,101,12114331,86,4.6,20,1921,8.5,1941353
2023-05,SOMA,42892,138995.0,5.5,10.7,78.1,0.48,1.7,20.7,107,12762755,95,4.0,28,1911,8.8,1923412
2023-06,SOMA,43017,140140.0,5.8,11.5,78.7,0.56,1.9,19.7,112,13385247,81,4.3,25,1916,8.6,1950175
2023-07,SOMA,42942,139427.0,6.0,9.5,78.2,0.54,2.1,17.1,93,11195337,88,4.0,26,1907,8.4,1926879
2023-08,SOMA,42990,140879.0,5.9,10.0,78.4,0.52,2.0,16.0,88,10606854,99,4.8,65,1957,8.5,1987630
2023-09,SOMA,42967,138977.0,6.2,10.9,78.3,0.47,1.9,14.6,77,9231760,111,4.7,57,1964,8.4,1955118
2023-10,SOMA,43037,139848.0,5.5,10.2,78.0,0.44,1.8,13.2,61,7405593,85,4.9,62,1972,8.4,1976043
2023-11,SOMA,42893,141192.0,5.8,10.8,77.9,0.43,2.0,13.9,52,6134277,103,4.0,32,1945,8.4,1996539
2023-12,SOMA,42962,139991.0,5.4,9.6,78.7,0.37,1.9,15.5,49,5849581,91,4.6,31,2316,8.5,1962574
2024-01,SOMA,42987,141379.0,5.4,10.4,78.5,0.51,1.9,18.1,55,6506699,101,4.8,31,2356,8.7,2012093
2024-02,SOMA,42963,142048.0,5.8,10.5,78.3,0.68,1.7,19.9,64,7605616,98,3.8,33,2344,8.4,2016910
2024-03,SOMA,43049,140719.0,5.4,11.3,79.5,0.52,2.1,21.1,73,8737727,107,4.9,32,1877,8.7,1995529
2024-04,SOMA,42935,141805.0,6.2,10.9,78.7,0.57,1.9,21.1,80,9642540,97,4.1,31,1905,8.7,2036338
2024-05,SOMA,42930,141542.0,5.7,10.3,78.6,0.45,1.6,20.7,107,12842073,103,4.2,31,1956,8.5,2025594
2024-06,SOMA,42928,141735.0,5.7,10.1,78.4,0.37,1.8,19.0,106,12787797,94,4.5,34,1883,8.4,2017709
2024-07,SOMA,42930,141810.0,5.5,9.8,78.3,0.54,2.0,17.1,101,12118757,94,4.1,32,1826,8.5,2036415
2024-08,SOMA,42965,145095.0,5.8,10.0,78.5,0.35,1.9,15.2,98,11954678,93,4.2,81,1901,8.7,2093069
2024-09,SOMA,42980,143010.0,5.9,9.5,78.4,0.61,1.9,13.7,77,9526286,107,4.4,69,1899,8.3,2050096
2024-10,SOMA,43035,142599.0,5.7,10.3,79.5,0.69,2.3,13.8,63,7490211,109,4.0,58,1865,8.4,2049272
2024-11,SOMA,42927,142574.0,5.6,10.9,77.9,0.54,2.1,14.1,47,5677446,106,4.5,27,1939,8.4,2068457
2024-12,SOMA,42979,143039.0,5.5,10.0,78.8,0.65,1.7,15.9,36,4316235,94,4.1,25,2268,8.5,2070713
2025-01,SOMA,42848,141467.0,5.6,10.6,77.1,0.47,1.8,18.1,48,5833505,96,3.8,33,2305,8.6,2093397
2025-02,SOMA,42856,145554.0,5.7,10.6,78.5,0.48,1.8,19.3,55,6827789,90,4.1,27,2357,8.4,2121510
2025-03,SOMA,42925,144806.0,5.9,11.3,78.4,0.59,1.9,21.0,74,9132308,92,4.4,30,1928,8.5,2113181
2025-04,SOMA,43041,145275.0,6.0,10.2,78.1,0.62,2.0,21.6,91,11137078,78,4.3,34,1897,8.6,2120417
2025-05,SOMA,42979,143377.0,5.8,8.9,78.4,0.36,2.1,20.8,107,13172780,85,4.9,34,1906,8.6,2087767
2025-06,SOMA,42922,144159.0,5.6,9.8,79.1,0.5,1.9,18.8,100,12234975,75,4.4,23,2014,8.6,2115742
2025-07,SOMA,43028,144157.0,5.9,10.5,78.6,0.65,2.0,17.5,96,11623547,93,4.4,24,2040,8.7,2124938
2025-08,SOMA,42969,145035.0,5.5,10.4,78.6,0.4,1.9,15.6,84,10205446,90,5.0,63,1850,8.5,2120781
2025-09,SOMA,43020,145021.0,5.7,11.0,77.9,0.38,1.7,14.9,70,8292511,90,4.6,73,1896,8.5,2152009
2025-10,SOMA,42873,145340.0,5.8,10.6,78.2,0.53,1.4,13.6,65,7875327,95,4.5,49,1921,8.4,2147416
2025-11,SOMA,42998,146131.0,5.6,10.4,78.9,0.32,2.1,14.2,53,6642191,81,4.2,28,1879,8.7,2157073
2025-12,SOMA,42941,146416.0,5.4,10.1,78.7,0.49,1.8,15.4,39,4837268,112,4.4,31,2334,8.4,2191219
