id,date,neighborhood,category,status,lat,lng,valuation,description
BLD202511-1379,2025-11-04,Inner Sunset,Foundation Work,Approved,37.768419,-122.444119,61242,Foundation Work permit at 7962 Geary Blvd
BLD202511-3911,2025-11-29,Inner Sunset,Window Replacement,Under Review,37.745894,-122.459583,59351,Window Replacement permit at 7907 Taraval St
BLD202511-1332,2025-11-02,Inner Sunset,ADU Construction,Issued,37.753605,-122.458903,269936,ADU Construction permit at 6113 Valencia St
BLD202511-5403,2025-11-25,Inner Sunset,Roof,Under Review,37.766009,-122.449715,37245,Roof permit at 8783 Geary Blvd
BLD202511-8097,2025-11-20,Inner Sunset,Seismic Retrofit,Under Review,37.769387,-122.455319,66432,Seismic Retrofit permit at 973 Van Ness Ave
BLD202511-6233,2025-11-04,Inner Sunset,Foundation Work,Issued,37.753056,-122.462643,78107,Foundation Work permit at 4034 Taraval St
BLD202511-8807,2025-11-04,Inner Sunset,Window Replacement,Completed,37.75773,-122.446008,61311,Window Replacement permit at 2177 Columbus Ave
BLD202511-6381,2025-11-11,Inner Sunset,Electrical,Completed,37.761983,-122.48595,59300,Electrical permit at 8970 Valencia St
BLD202511-4866,2025-11-17,Inner Sunset,Demolition,Issued,37.736299,-122.472813,68087,Demolition permit at 9092 Mission St
BLD202511-4761,2025-11-15,Inner Sunset,Addition,Completed,37.754244,-122.456911,205560,Addition permit at 6834 Columbus Ave
BLD202511-4346,2025-11-23,Inner Sunset,Mechanical,On Hold,37.757742,-122.46783,66321,Mechanical permit at 396 Geary Blvd
BLD202511-8462,2025-11-12,Inner Sunset,Plumbing,Completed,37.769748,-122.451918,78174,Plumbing permit at 2891 Mission St
BLD202511-6526,2025-11-19,Inner Sunset,Seismic Retrofit,Approved,37.756983,-122.466068,69679,Seismic Retrofit permit at 3277 Taraval St
BLD202511-3661,2025-11-12,Inner Sunset,Seismic Retrofit,Approved,37.768401,-122.457384,50879,Seismic Retrofit permit at 6150 Divisadero St
BLD202511-8041,2025-11-02,Inner Sunset,HVAC Installation,Issued,37.758845,-122.471489,59386,HVAC Installation permit at 5039 Geary Blvd
BLD202511-7695,2025-11-11,Inner Sunset,Plumbing,Approved,37.752969,-122.453407,65918,Plumbing permit at 7978 Taraval St
BLD202511-5253,2025-11-09,Inner Sunset,Mechanical,Issued,37.734173,-122.46487,49750,Mechanical permit at 6059 Columbus Ave
BLD202511-9364,2025-11-03,Inner Sunset,Electrical,Under Review,37.757186,-122.476463,63739,Electrical permit at 8905 Valencia St
BLD202511-1631,2025-11-28,Inner Sunset,Foundation Work,Approved,37.752413,-122.457976,42630,Foundation Work permit at 4219 Irving St
BLD202511-2310,2025-11-23,Inner Sunset,Roof,Issued,37.758681,-122.461527,61652,Roof permit at 774 Fulton St
BLD202511-8644,2025-11-27,Inner Sunset,ADU Construction,Approved,37.764568,-122.463515,215398,ADU Construction permit at 1111 Market St
BLD202511-2892,2025-11-23,Inner Sunset,Foundation Work,Issued,37.764204,-122.471859,80271,Foundation Work permit at 938 Geary Blvd
BLD202511-5315,2025-11-21,Inner Sunset,Plumbing,Completed,37.761401,-122.474817,62383,Plumbing permit at 2652 Valencia St
BLD202511-7731,2025-11-27,Inner Sunset,Roof,Completed,37.760914,-122.454699,74243,Roof permit at 5311 Valencia St
BLD202511-3624,2025-11-06,Inner Sunset,Solar Installation,Under Review,37.754851,-122.457726,82358,Solar Installation permit at 4365 Valencia St
BLD202511-4353,2025-11-12,Inner Sunset,Seismic Retrofit,Expired,37.770085,-122.45309,54241,Seismic Retrofit permit at 3882 Columbus Ave
BLD202511-7948,2025-11-03,Inner Sunset,Addition,Under Review,37.775456,-122.462883,183597,Addition permit at 689 Columbus Ave
BLD202511-1232,2025-11-10,Inner Sunset,HVAC Installation,Approved,37.77836,-122.469789,69689,HVAC Installation permit at 2351 Columbus Ave
BLD202511-5259,2025-11-24,Inner Sunset,HVAC Installation,Completed,37.749068,-122.452155,54053,HVAC Installation permit at 6224 Mission St
BLD201906-5938,2019-06-23,Mission District,HVAC Installation,Completed,37.770792,-122.395248,42030,HVAC Installation permit at 8683 Mission St
BLD201906-4729,2019-06-02,Mission District,Demolition,Completed,37.760058,-122.431493,32000,Demolition permit at 6262 Market St
BLD201906-4446,2019-06-13,Mission District,Electrical,Withdrawn,37.746462,-122.420114,25474,Electrical permit at 6902 Divisadero St
BLD201906-9918,2019-06-27,Mission District,HVAC Installation,Under Review,37.774705,-122.421395,31811,HVAC Installation permit at 2324 Mission St
BLD201906-9406,2019-06-15,Mission District,Roof,Completed,37.754075,-122.413728,38360,Roof permit at 3701 Columbus Ave
BLD201906-1362,2019-06-25,Mission District,Solar Installation,Withdrawn,37.763068,-122.40567,50356,Solar Installation permit at 2739 Mission St
